;index;z;y;x;radius;int_mean;coloc
0;1;49;502;214;5.342584568965026;457;False
1;2;49;493;178;5.342584568965026;430;False
2;3;49;489;199;5.342584568965026;439;False
3;4;49;440;243;5.342584568965026;421;False
4;5;49;433;259;5.342584568965026;385;False
5;6;44;464;287;2.8284271247461903;812;False
6;7;44;448;268;2.8284271247461903;635;False
7;8;43;509;245;2.8284271247461903;425;False
8;9;43;469;276;2.8284271247461903;995;False
9;10;39;482;258;2.8284271247461903;621;False
10;11;38;481;256;2.8284271247461903;672;False
11;12;38;473;260;2.8284271247461903;759;False
12;13;37;449;255;4.085505846855608;1416;True
13;14;37;420;188;2.8284271247461903;554;True
14;15;36;513;281;2.8284271247461903;441;False
15;16;36;511;233;2.8284271247461903;1013;True
16;17;36;475;163;4.085505846855608;822;False
17;18;36;470;234;2.8284271247461903;497;False
18;19;36;456;277;4.085505846855608;1400;False
19;20;36;455;293;4.085505846855608;585;False
20;21;35;512;256;2.8284271247461903;915;True
21;22;35;509;191;6.599663291074443;1761;True
22;23;35;475;282;5.342584568965026;2335;False
23;24;35;469;200;2.8284271247461903;511;False
24;25;34;400;232;2.8284271247461903;263;True
25;26;33;502;168;2.8284271247461903;539;False
26;27;33;478;206;2.8284271247461903;444;False
27;28;32;505;216;2.8284271247461903;417;False
28;29;32;499;156;2.8284271247461903;610;False
29;30;32;437;207;2.8284271247461903;381;True
30;31;31;471;248;5.342584568965026;1586;True
31;32;30;436;125;2.8284271247461903;252;False
32;33;29;449;203;2.8284271247461903;323;False
33;34;28;465;281;6.599663291074443;2465;False
34;35;26;537;225;2.8284271247461903;427;False
35;36;26;516;246;2.8284271247461903;649;False
36;37;26;446;263;2.8284271247461903;583;False
37;38;25;525;172;2.8284271247461903;345;False
38;39;25;492;295;2.8284271247461903;594;False
39;40;23;483;258;2.8284271247461903;873;False
40;41;22;488;156;2.8284271247461903;319;False
41;42;21;499;279;4.085505846855608;519;False
42;43;21;473;263;2.8284271247461903;844;False
43;44;21;453;252;4.085505846855608;1301;True
44;45;20;493;274;4.085505846855608;590;False
45;46;19;493;283;4.085505846855608;692;False
46;47;19;481;271;2.8284271247461903;824;False
47;48;19;472;272;2.8284271247461903;979;False
48;49;19;471;275;2.8284271247461903;1114;False
49;50;18;509;265;2.8284271247461903;468;False
50;51;18;488;175;2.8284271247461903;364;True
51;52;18;473;293;2.8284271247461903;879;False
52;53;17;501;197;2.8284271247461903;548;False
53;54;17;499;212;2.8284271247461903;519;False
54;55;16;500;257;2.8284271247461903;906;False
55;56;16;464;255;5.342584568965026;1604;True
56;57;15;458;153;2.8284271247461903;271;False
57;58;12;514;273;4.085505846855608;1492;True
58;59;11;516;178;2.8284271247461903;376;False
59;60;11;507;205;4.085505846855608;1528;True
60;61;11;480;283;5.342584568965026;2536;False
61;62;10;498;229;2.8284271247461903;524;False
62;63;9;474;245;2.8284271247461903;636;False
63;64;9;462;214;2.8284271247461903;915;True
64;65;4;481;273;2.8284271247461903;756;False
